"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"GND,MOSI,SCK,LE";"TestPoint_Pad_D1.0mm";4;"TestPoint";;;
2;"LOGO1";"OSHW-Logo_5.7x6mm_SilkScreen";1;"Logo_Open_Hardware_Small";;;
3;"C17,C16,C15";"C_1210_3225Metric";3;".22u";;;
4;"C14,C13,C12,C11,C2,C3";"0603-NO";6;"1uF";;;
5;"U8";"TSSOP-16_4.4x5mm_P0.65mm";1;"CD40109B";;;
6;"C10";"0603-NO";1;"10n";;;
7;"D2,D1";"D_SOD-123";2;"B0540W";;;
8;"C4";"C_2220_5650Metric";1;"2.2uF";;;
9;"D3,D4";"SOT-23";2;"MMBD5004S";;;
10;"U2,U6";"SOT-23-5";2;"LT3468";;;
11;"U3";"SOT-23-5";1;"AP2204K-3.3";;;
12;"U4";"SOT-23-5";1;"AP2204K-5.0";;;
13;"C1,C7,C8";"0805-NO";3;"10uF";;;
14;"C5,C9";"0603-NO";2;"6.3uF";;;
15;"C6";"0603-NO";1;"100pF";;;
16;"IC3";"QFN32_5MM";1;"ATSAMD21E";;;
17;"J1,J2,J4";"FX6-60S";3;"Conn_15X4";;;
18;"J3";"CUI_PJ-006B-SMT_power_jack";1;"CUI_power_jack";;;
19;"L1";"CHIPLED_0603_NOOUTLINE";1;"red";;;
20;"PWR1";"CHIPLED_0603_NOOUTLINE";1;"green";;;
21;"Q2";"BTN_KMR2_4.6X2.8";1;"reset";;;
22;"R1";"0603-NO";1;"1.5K";;;
23;"R2";"0603-NO";1;"10M";;;
24;"R3";"0603-NO";1;"100K";;;
25;"R4";"0603-NO";1;"10K";;;
26;"TR1,TR2";"ATB3225";2;"ATB3225";;;
27;"U1,U5,U7";"QFP-96_14x20_Pitch0.8mm";3;"HV507";;;
28;"X1";"molex_105133_vertical_USB";1;"USB_micro";;;
